㐷	horse; knight
跁	squat
跂	foot
跃	jump
跄	stagger
跅	careless
跆	trample, to kick
跋	postscript
跌	fall
跍	squat
跎	stumble
跏	sit cross-legged
跐	trample
跑	paw
跕	shuffle
跖	metatarsus
跗	instep
跙	weak, lame
跛	limp
距	spur
跞	move
跟	heel
跣	barefooted
跤	a tumble
跦	pace back and forth
跧	curl up
跨	step across
跩	waddle
跪	kneel
跫	sound of footsteps
跬	brief
跮	hasty walking
路	road
跱	squat
跲	stumble
跳	jump
践	fulfill
跶	stumble
跷	raise one's foot
跸	clear streets when emperor tours
跹	manner of dancing
跺	stamp one's feet
跻	ascend; to climb; to mount
跽	kneel
踅	walk around
踆	squat
踊	leap
踏	tread
踒	slip and sprain a limb
踔	get ahead
踖	step
踘	leather ball
踜	stumble
踝	ankle
踞	be based upon
踠	ankle
踡	curl up
踢	kick
踣	tumble; to fall down
踤	butt against
踥	walk with small steps
踦	shin
踧	carefully
踩	step on
踪	footprint; trace; tracks
踬	stumble
踮	stand on tiptoe
踱	pace; to stroll
踵	arrive
踶	kick
踹	kick
踼	fall flat
踽	hunchbacked
蹀	tread on
蹁	limp
蹂	trample
蹄	hoof
蹅	trudge
蹇	lame
蹈	tread on
蹉	error
蹊	footpath
蹋	step on
蹎	fall forward
蹐	walk with short steps
蹑	walk on tiptoe
蹓	stroll
蹙	knit
蹚	wade
蹜	walk carefully
蹝	slippers
蹢	hoof
蹦	jump; to bounce; to hop
蹩	limp
蹪	stumble
蹬	step on; to tread on
蹭	rub against
蹯	paws of animal
蹲	crouch
蹴	carefully
蹶	stumble
蹼	web
蹽	run
蹾	put sth down heavily
蹿	leap up
躁	impatient; hot-tempered
躄	both feet crippled
躐	step across
躔	animal tracks
躗	exaggerate
躙	oppress
躜	jump
躞	walk
躠	limp
躧	shoe
躩	bend
身	body
躬	body
躯	human body
躲	hide
躺	recline
軖	spinning wheel
軘	war chariot
軚	steering wheel
軜	inner reins of a 4-horse team
軥	ends of yoke
軨	lattice work on front and sides
軭	spoil
軱	big bone
軷	sacrifice
軿	assemble
輀	hearse
輂	horse carriage
輠	grease-pot under a cart
輣	war chariot
輤	a pall to cover the hearse
輫	carriage
輴	hearse
輵	great array of spears and chariots
輹	parts of cart holding the axle
轏	chariot for sleeping and conveyance
轑	spokes
轒	war chariot
轖	leather top of a cart
轘	tear between chariots
轙	rings on the yokes
轞	vehicle for transporting prisoners
车	car
轧	roll
轨	rail; track; course; path
轩	pavilion with a view
轫	brake
转	turn
轭	yoke
轮	wheel; disk; ring
软	soft
轰	explosion
轲	given name of Mencius
轴	axis
轵	end of axle outside of hub
轶	lost
轸	square
轹	bully
轺	light carriage
轻	light
轼	handrail at the front of a carriage or chariot; to bow while leaning on this handrail as a gesture of respect
载	carry
轾	back and lower of chariot
轿	sedan chair
辀	shaft
辁	limited
辂	large carriage, esp. a conveyance for a monarch
较	compare
辄	then
辅	assist
辆	classifier for vehicles
辇	man-drawn carriage
辈	lifetime
辉	radiance; brilliance; to shine
辊	roller
辋	tire
辍	stop
辎	covered wagon
辏	converge
辐	spoke of a wheel
辑	gather up
辒	hearse
输	lose; to be beaten
辔	bridle; reins
辕	shaft of a cart or carriage
辖	linchpin
辙	rut; track of a wheel
辚	rumbling of wheels
辛	hot or pungent
辜	crime; sin
辞	resign
辟	open
辣	hot
辨	distinguish
辩	dispute
辫	a braid or queue
辰	ancient Chinese compass point: 120°
辱	disgrace
辵	walk
辶	walk
边	side
辽	distant; faraway
达	attain
辿	slow
迁	move
迂	literal-minded
迄	as yet
迅	rapid
过	cross
迈	step; to stride
迋	deceive
迎	welcome; to meet
运	move
近	near
迓	receive
返	return
迕	obstinate, perverse
还	still
这	this
进	go forward
远	far
违	disobey
连	link
迟	late
迢	remote
迣	leap over
迤	extending to
迥	distant
迨	until
迩	recently
迪	enlighten
迫	force
迭	alternately
迮	haste
述	state; to tell; to narrate; to relate
迶	walk
迷	bewilder
迸	burst forth
迹	trace; mark; vestige; clue
迻	shift
追	chase
迿	be the first to begin a quarrel
退	retreat; to withdraw
送	send; to deliver; to transmit
适	fit
逃	escape
逆	contrary
选	choose
逊	abdicate
逋	flee
逌	distant
透	penetrate; to seep through
逐	one by one; individually
逑	collect
递	progressively; in the proper order
途	way
逖	remote; far away
逗	tease ; to entice
通	go through
逛	stroll
逝	pass by
逞	show off
速	fast
造	make
逡	shrink back
逢	meet by chance
逦	winding
逭	escape from
逮	reach
逯	walk cautiously
逴	apparent
逵	crossroads
逸	flee; to escape
逻	patrol
逼	force
逾	exceed
逿	fall
遁	evade
遂	satisfy
遄	hurry
遇	treat; to receive
遍	everywhere
遏	restrain
遐	distant
遑	leisure
遒	strong
道	road; path
遗	leave behind
遘	meet unexpectedly
遛	stroll
遝	abundant
遣	dispatch; to send
遥	distant; remote; far away
遨	make an excursion; to ramble; to travel
遫	alert
遭	suffer; to meet with
遮	cover up
遰	go away
遴	select
遵	observe
遹	follow
遻	recalcitrant
遽	hurry
避	avoid
邀	invite
邃	deep
邅	not making progress
邈	profound
邑	city
邕	Yong River
邗	name of an ancient river
邘	place name
邙	Mt Mang at Luoyang in Henan, with many Han, Wei and Jin dynasty royal tombs
邛	mound
邢	place name
那	many
邦	country; nation; state
邧	place name
邪	demonic
邬	ancient place name
邮	post
邰	name of a feudal state
邲	ancient place name
邳	Han dynasty county in present-day Jiangsu
邴	ancient city name
邵	place name
邶	name of a feudal state
邷	grab
邸	residence of a high-ranking official
邹	vassal state during the Zhou Dynasty in the southeast of Shandong
邻	neighbor
邽	ancient place name
邾	name of a feudal state
邿	place name
郁	lush; luxuriant
郃	name of a person
郅	extremely
郇	name of a feudal state
郈	place name
郊	suburbs
郎	minister
郐	name of a feudal state
郕	Zhou Dynasty vassal state
郗	name of an ancient city
郙	ancient place name
郚	place name
郛	suburbs
郜	name of a feudal state
郝	ancient place name
郡	canton
郦	ancient place name
郧	name of a feudal state
部	ministry
郪	name of a river
郫	place name
郭	outer city wall
郯	name of an ancient city
郰	birthplace of Confucius in Shandong
郳	place name
郹	place name
都	capital city
郿	ancient place name
鄀	place name
鄇	place name
鄈	place name
鄍	place name
鄎	place name
鄏	place name
鄑	place name
鄕	country
鄗	ancient place name
鄘	name of a feudal state
鄙	rustic
鄜	name of a district in Shaanxi
鄣	place name
鄤	place name
鄦	vassal state during the Zhou Dynasty
鄫	Zhou vassal state
鄬	place in Henan province
鄮	ancient place name
鄱	name of a lake
鄵	ancient place name
鄹	name of a state
鄻	place name
鄾	place name
鄿	place name
酂	group of 100 families
酃	name of a district in Hunan
酅	place name
酆	Zhou Dynasty capital
酉	ancient Chinese compass point: 270°
酊	tincture
酋	tribal chief
酌	pour wine
配	join
酎	strong wine
酏	elixirs
酐	anhydride
酒	wine
酖	poisonous
酗	drunk
酚	phenol
酝	brew
酞	phthalein
酡	flushed
酢	toast to host by guest
酣	intoxicated
酤	deal in liquors
酥	flaky pastry
酦	ferment alcohol
酪	semi-solid food made from milk
酬	entertain
酮	ketone
酯	ester
酰	acid radical
酱	jam
酲	inebriated
酴	yeast
酵	yeast; leaven
酶	enzyme
酷	ruthless
酸	sour
酹	pour out libation
酺	drink heavily
酽	strong; thick; deep; rich
酾	filter
酿	ferment
醁	name of a wine
醅	unstrained spirits
醆	wine cup
醇	alcohol
醉	intoxicated
醊	pour libation on ground
醋	vinegar
醌	quinone
醑	spiritus
醒	wake up
醓	brine of pickled meat
醚	ether
醛	aldehyde
醝	liquor
醟	drink to excess
醡	press for extracting wine
醢	minced meat
醣	carbohydrate
醨	dregs of wine
醪	wine or liquor with sediment
醭	mold on liquids
醮	perform sacrifice
醯	acyl
醰	bitter taste in wine
醳	fine wine
醴	sweet wine
醵	contribute to a feast
醹	strong
醺	helplessly intoxicated
醽	name of a wine
醾	unfiltered wine
釂	drain a goblet
采	pick
釉	glaze
释	explain
里	lining
重	heavy
野	field
量	measure
金	gold
釜	kettle
釢	neodymium
釪	an alms bowl
釭	hanging bowl for lamp or fish
釱	fetters
鈌	pierce, to stab
鉌	small bell
鉏	hoe
鉠	ring
鉲	cadmium
鉳	berkelium
鉴	bronze mirror
鉼	plate
銎	eye of an axe
銧	point of a sword
銮	imperial
銰	character used in Korea in former times to represent the syllable "ngai"
銾	sound of a bell
鋂	americium
鋆	gold
鋈	-plated
鋊	a poker
鋑	engrave or carve, as a block for printing
鋕	engrave
鋘	plaster
鋡	hold
鋬	handle of a cup, kettle or other vessel
錍	flat arrow-head
錔	encase the end with metal
錴	rhodium
錵	holmium
錼	neptunium
錾	engrave
鍅	francium
鍉	spoon
鍏	spade
鍐	a headstall, ornament on a bridle
鍪	iron pot
鍱	thin plates of metal
鍴	drinking goblet
鍹	spade
鎉	thallium
鎋	linchpin
鎍	chain
鎞	plowshare
鎤	sound of a bell
鎴	strontium
鎸	inscribe
鏊	griddle
鏖	violent fighting
鏚	battle-axe
鏦	spear
鏸	three edged spear
鏾	the trigger of a crossbow
鐾	sharpen on a stone or a strop
鑀	einsteinium
鑅	for sound of bell
鑐	bolt of a Chinese lock
鑢	polishing tool
鑯	awl
鑴	engrave or carve, as a block for printing
钃	metal
钆	gadolinium
钇	yttrium
针	needle
钉	pin
钊	encourage
钋	polonium
钌	ruthenium
钍	thorium
钎	a drill
钏	armlet
钐	samarium
钑	inlay
钒	vanadium
钓	fish with a hook and line; to angle
钔	mendelevium
钕	neodymium
钖	ornaments on headstall of horse
钗	hairpin
钘	long-necked wine flask
钙	calcium
钚	plutonium
钛	titanium
钜	hard iron
钝	blunt
钞	money
钟	a bell
钠	sodium
钡	barium
钢	steel
钣	metal plate
钤	latch of door
钥	key
钦	respect
钧	30 catties
钨	tungsten
钩	hook
钪	scandium
钫	francium
钬	holmium
钭	a wine flagon
钮	button
钯	palladium
钰	treasure
钱	coin
钲	gong used to halt troops
钳	pincers
钴	cobalt
钵	Sanskrit paatra
钶	columbium
钷	promethium
钸	plutonium
钹	cymbals
钺	battle-ax
钻	drill
钼	molybdenum
钽	tantalum
钾	potassium
钿	coin; money
铀	uranium
铁	iron
铂	platinum
铃	bell
铄	bright
铅	lead
铆	fasten with a rivet; to rivet
铈	cerium
铉	commonly used in Korean names, transcribed as "hyun"
铊	thallium
铋	bismuth
铌	niobium
铍	beryllium
铎	large ancient bell
铏	soup cauldron
铐	shackles
铑	rhodium
铒	erbium
铓	sharp point
铔	ammonium
铕	europium
铗	pincers for use at a fire
铙	big cymbals
铚	sickle
铛	clank
铜	copper
铝	aluminum
铟	indium
铠	armor
铡	lever-style guillotine
铢	twenty-fourth part of a tael
铣	mill
铤	ingot
铥	thulium
铦	fish-spear
铧	plowshare
铨	estimate
铩	spear; lance
铪	hafnium
铫	weeding tool
铬	chromium
铭	engrave
铮	clang of metals
铯	cesium
铰	scissors
铱	iridium
铲	spade; shovel
铳	ancient firearm
铵	ammonium
银	silver
铷	rubidium
铸	cast or found metals
铹	lawrencium
铺	store
铻	hoe
铼	rhenium
铽	terbium
链	chain
铿	clang
销	melt
锁	lock; to lock up
锂	lithium
锃	polished
锄	a hoe
锅	pot; pan; wok; cauldron
锆	zirconium
锇	osmium
锈	rust
锉	file
锋	point of a spear
锌	zinc
锎	californium
锏	ancient weapon like a long solid metal truncheon
锐	acute
锑	antimony
锒	chain
锓	carve
锔	curium
锕	actinium
锖	the color of a mineral
锗	germanium
锘	nobelium
错	mistake
锚	anchor
锛	adz
锜	three legged cauldron
锝	technetium
锞	grease-pot for cart
锟	steel sword
锠	metal utensil
锡	tin
锢	obstinate disease
锣	gong
锤	hammer
锥	cone
锦	brocade
锧	block
锨	shovel
锩	bend iron
锪	ream
锫	berkelium
锬	long spear
锭	spindle
键	key
锯	a saw
锰	manganese
锱	ancient weight
锲	cut
锳	ring
锴	high quality iron
锵	tinkling of small bells
锶	strontium
锷	blade edge
锸	spade
锹	shovel
锻	forge
锼	engrave
锽	sound of drums and bells
锾	ancient unit of weight
锿	einsteinium
镀	plate
镁	magnesium
镂	engrave
镃	hoe
镄	fermium
镅	americium
镆	moscovium
镇	press down
镈	hoe
镉	cadmium
镊	tweezers
镋	ancient weapon resembling a pitchfork
镌	engrave
镍	nickel
镎	neptunium
镏	lutetium
镐	a pick
镑	pound
镓	gallium
镔	fine steel
镕	smelt
镖	dart-like throwing weapon
镗	noise of drums
镘	side of coin without words
镚	small coin
镛	large bell
镜	mirror
镝	dysprosium
镞	arrowhead
镟	shape on a lathe
镠	fine gold
镡	guard
镢	mattock; hoe
镣	fetters
镤	protactinium
镥	lutetium
镦	upsetting
镧	lanthanum
镨	praseodymium
镩	ice spud with a pointy tip
镪	money
镫	stirrup
镬	wok
镭	radium
镮	metal ring
镯	bracelet
镰	sickle
镱	ytterbium
镲	small cymbals
镳	bit
镴	solder
镵	sharp instrument for digging
镶	inlay
镸	"long" or "to grow" radical in Chinese characters
镻	name of poisonous snake in ancient text
长	long
閛	the sound of opening or closing the door
閟	hidden
閦	crowd
閺	look down
闁	praise
闟	peacefully
门	-gate
闩	bolt
闪	dodge
闬	gate of a village
闭	close
问	ask; to inquire
闯	rush
闰	intercalary
闱	door to women's room
闲	idle
闳	big
间	gap
闷	bored
闸	sluice
闹	noisy
闺	small arched door
闻	hear
闼	door of an inner room
闾	gate of a village
闿	loosen
阀	valve
阁	pavilion
阂	obstruct
阃	threshold
阄	lots
阅	inspect
阆	vast; spacious
阇	defensive platform over gate
阈	threshold
阉	castrate
阊	gate of heaven
阋	argue
阌	wen xiang, Henan province
阍	doorkeeper
阎	the gate of a lane
阏	block
阐	express
阑	railing
阒	quiet
阓	gate of market
阔	rich
阕	end; to stop
阖	door
阗	fill up
阘	door or window in an upper story
阙	mistake
阚	glance
阛	wall around a market place
阜	abundant
阞	layer
队	squadron
阡	road leading north and south
阤	bank
阨	defile
阪	slope
阮	ruan, a four-stringed Chinese lute
阰	mountain in ancient Chu
阱	pitfall
防	protect
阳	positive
阴	overcast
阵	disposition of troops
阶	rank or step
阹	a pen
阻	hinder
阼	steps leading to the eastern door
阽	dangerous
阿	Albania
陀	declivity
陂	pool
附	add; to attach
际	border
陆	six
陈	old; stale
陉	border the stove
陋	low
陌	raised path
降	drop
限	limit
陑	place name
陔	step
陛	the steps to the throne
陟	advance
陡	steep; precipitous
院	courtyard
除	get rid of
陧	dangerous
陨	fall from the sky
险	danger
陪	accompany
陬	corner
陲	frontier
陴	parapet
陵	mound
陶	pottery
陷	pitfall
陼	islet
陾	sound of stonemason's shovel
隃	exceed
隅	corner
隆	grand
隈	bay
隋	the Sui dynasty
隍	dry moat
随	follow
隐	lean upon
隒	a rough mountain path
隔	separate
隗	eminent
隘	narrow
隙	crack
障	block
隞	Ao, Shang Dynasty capital
隧	tunnel
隩	bay
隰	low
隳	destroy
隶	clerical script
隹	short-tailed bird
隼	falcon
隽	meaningful
难	disaster
雀	a freckle
雁	wild goose
雄	male
雅	elegant
集	gather
雇	employ
雈	type of owl
雉	ringed pheasant
雊	crowing of pheasant
雌	female
雍	harmony
雎	osprey
雏	chick; young bird
雒	black horse with white mane
雕	carve
雗	a white pheasant
雘	red earth used for paints
雚	stork
雟	sparrow
雠	collate
雨	rain
雩	summer sacrifice for rain
雪	snow
雯	multicolored clouds
雰	misty
雱	heavy
零	zero
雷	thunder
雹	hail
雾	fog
需	require
霁	sky clearing up
霄	firmament
霅	rain
霆	clap of thunder
震	shake
霈	torrent of rain
霉	mold
霍	suddenly
霎	all of a sudden
霏	fall of snow
霓	secondary rainbow
霖	continued rain
霙	sleet
霜	frost
霝	drops of rain
霞	rose-tinted sky or clouds at sunrise or sunset
霣	rain storm
霤	dripping of rain from eaves
霨	rising of clouds
霪	heavy rain
霫	Sui-Tang
霭	mist
霮	denseness of clouds
霰	graupel
露	dew
霸	hegemon
霾	haze
靐	thunder
青	green
靓	make up
靖	peaceful
静	still
靛	indigo pigment
非	not be; not
靠	lean against or on
靡	waste
面	face
靥	dimple
革	animal hide
靪	cobble
靮	reins
靲	leather shoes
靳	martingale
靴	boots
靶	target
靷	traces
靸	children's shoe
靺	name of a tribe
靼	dressed leather
靿	the leg of a boot or sock
鞁	horse tack
鞃	a leaning board on carriage
鞄	work hides
鞅	martingale
鞋	shoe
鞍	saddle
鞑	Tartar
鞒	the pommel and cantle of a saddle
鞗	reins of leather
鞘	scabbard; sheath
鞙	fine
鞚	bridle
鞝	patch of leather
鞞	scabbard
鞠	incline ; to bow
鞣	suede
鞥	reins
鞧	crupper
鞨	buskin
鞫	interrogate
鞬	a quiver on a horse
鞭	whip or lash
鞮	leather shoes
鞯	saddle blanket
鞴	saddle a horse
鞶	large belt
鞹	leather
韂	saddle blanket
韅	leather girth on horse
韎	a grass that gives red dye
韔	bow bag
韖	tan, soften
韘	archer's thumb ring
韛	bellows
韝	archer's arm guard
韡	gorgeous
韣	bow case
韦	soft leather
韧	annealed
韨	kneepad
韩	Korea from the fall of the Joseon dynasty in 1897
韪	correct
韫	contain
韬	bow case or scabbard
韭	leek
韱	wild onions or leeks
音	sound
韵	the final
韶	splendid; glorious
韹	music of bell and drum
韺	music of legendary emperor Gu
頀	music
頄	cheekbone
頖	disperse
頞	junction of nose and forehead
頯	cheekbone
顑	yellow
顜	honest
顣	frown
页	head
顶	apex
顷	a short while
顸	dawdling
项	back of neck
顺	obey
须	must
顽	mischievous
顾	look after; to take into consideration; to attend to
顿	stop
颀	tall
颁	promulgate
颂	ode
颃	fly down
预	advance
颅	forehead
领	neck
颇	rather
颈	neck
颉	fly upwards
颊	cheeks
颋	narrow forehead
颌	jaw
颍	river in Henan and Anhui
颎	blaze
颏	chin
颐	chin; jaw
频	frequency
颓	crumble
颔	chin
颖	head of grain
颗	classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc
题	topic
颙	grand
颚	jaw
颛	good
颜	color
额	forehead
颞	bones of the temple
颟	dawdling
颠	top
颡	forehead
颢	white and shining
颣	flaw
颤	tremble
颦	scowl
颧	cheekbone
颽	balmy
飂	wind in high places
风	wind
飏	soar
飐	sway in the wind
飑	whirlwind
飒	sound of wind
飔	cool breeze
飕	blow
飖	floating in the air
飗	soughing of wind
飘	float ; to flutter; to waft
飙	very strong wind; gale
飞	fly
食	eat
飧	supper
飨	offer food and drinks
飶	fragrance of food
餀	tainted food
餂	obtain by deception
餇	food
餋	offer sacrifices
餍	eat to the full
餐	meal
餟	circle shrines and make sacrifices
餤	advance
餩	hiccup
餪	send a present of a feast
餮	greedy; gluttonous
餯	rotten and smelly
餲	spoiled; sour; gone off
饎	food
饐	rancid
饔	cooked food
饕	greedy; gluttonous
饙	steam rice
饣	"to eat" or "food" radical in Chinese characters
饤	display food for show only
饥	hungry
饧	maltose syrup
饩	grain ration
饪	cooked food
饫	full
饬	put in order
饭	cooked rice
饮	drink
饯	farewell dinner
饰	decoration
饱	eat till full
饲	raise
饴	maltose syrup
饵	pastry
饶	rich
饷	soldier's pay
饺	dumplings with meat filling
饼	round flat cake
饽	cake
